project,n_samples,title
SRP157974,448,Fudan University Shanghai Cancer Center Triple Negative Breast Cancer (FUSCCTNBC)
SRP042620,168,Breast Cancer RNA-seq
SRP155941,124,"Human Tumor-Associated Macrophage and Monocyte Transcriptional Landscapes Reveal Cancer-Specific Reprogramming, Biomarkers, and Therapeutic Targets"
SRP111343,103,RNAseq analysis of chemotherapy and radiation therapy-naïve breast tumors
ERP021686,84,Mammary fat pad and intraductal xenografts with both DCIS.COM-lacZ and DCIS.COM-SOX11 cell lines to characterize the changes in mRNA expression in invasive cancers.
SRP023262,80,A shared transcriptional program in early breast neoplasias despite genetic and clinical distinctions
SRP090689,41,Immune escape in breast cancer during in situ to invasive carcinoma transition
SRP058722,35,A Molecular Portrait Of High-Grade Ductal Carcinoma In Situ (DCIS) [RNA-seq]
SRP062132,33,Next Generation Sequencing Transcriptomes of breast cancer
SRP050134,28,The circadian transcriptional landscape in primary human mammary epithelial cells
SRP156355,24,Identification of lncRNA in early stage breast cancer and their prognostic implications
SRP003726,14,Gene expression profiling of human tissue samples using SAGE-Seq
SRP073375,12,Spatial proximity to fibroblasts impacts molecular features and therapeutic sensitivity of breast cancer cells influencing clinical outcomes
SRP055512,12,Gene expression profiling of patient's DCIS-IDC tandem lesions by RNA sequencing analysis
SRP004847,8,Altered antisense-to-sense transcript ratios in breast cancer: Sage-Seq
SRP011974,8,DEEP SEQUENCING OF MODELS OF BREAST DUCTAL CARCINOMA IN SITU REVEALS ALDH5A1 AS A NOVEL POTENTIAL THERAPEUTIC TARGET
ERP004151,4,RNA-seq of mRNA from MCF7 breast cancer cells and samples derived from normal breast tissues
SRP004965,3,Epigenetic regulation of cell type-specific expression patterns in the human mammary epithelium [SAGE-Seq]
SRP004837,3,Altered antisense-to-sense transcript ratios in breast cancer: ASSAGE
