gene,selection_freq,direction_consistency,times_selected,n_bootstraps
ATOH8,1.0,1.0,200,200
CD300LG,1.0,1.0,200,200
MYOC,1.0,1.0,200,200
CAV1,1.0,1.0,200,200
STARD9,1.0,1.0,200,200
AQP7,1.0,1.0,200,200
C1QTNF9,1.0,1.0,200,200
NEK2,1.0,1.0,200,200
LOC387911,1.0,1.0,200,200
BTNL9,1.0,1.0,200,200
MMP11,1.0,1.0,200,200
CA4,1.0,1.0,200,200
HSPB6,1.0,1.0,200,200
PAFAH1B3,1.0,1.0,200,200
IGFBP6,1.0,1.0,200,200
FXYD1,1.0,1.0,200,200
GLYAT,1.0,1.0,200,200
COL10A1,1.0,1.0,200,200
LRRC3B,1.0,1.0,200,200
TSLP,1.0,1.0,200,200
SDPR,0.995,1.0,199,200
IGSF10,0.995,1.0,199,200
CPA1,0.99,1.0,198,200
DMD,0.98,1.0,196,200
HSD17B13,0.98,1.0,196,200
GPAM,0.975,1.0,195,200
CXCL2,0.96,1.0,192,200
FIGF,0.955,1.0,191,200
KLF15,0.945,1.0,189,200
FLJ90650,0.935,1.0,187,200
RBP4,0.885,1.0,177,200
ANGPTL7,0.855,1.0,171,200
ITIH5,0.855,1.0,171,200
AVPR2,0.84,1.0,168,200
LEPR,0.81,1.0,162,200
RDH5,0.745,1.0,149,200
MME,0.72,1.0,144,200
CES1,0.715,1.0,143,200
ALDH1L1,0.705,1.0,141,200
CAV2,0.66,1.0,132,200
COL11A1,0.605,1.0,121,200
CEP55,0.595,1.0,119,200
ACVR1C,0.59,1.0,118,200
ARHGAP20,0.585,1.0,117,200
ADAMTS5,0.575,1.0,115,200
F10,0.525,1.0,105,200
WISP1,0.495,1.0,99,200
SPRY2,0.455,1.0,91,200
FHL1,0.455,1.0,91,200
HBA2,0.445,1.0,89,200
PDE2A,0.42,1.0,84,200
PGM5,0.405,1.0,81,200
LOC55908,0.395,1.0,79,200
SLC2A4,0.39,1.0,78,200
KIAA0408,0.365,1.0,73,200
INHBA,0.36,1.0,72,200
TPM3,0.32,1.0,64,200
LRRTM2,0.265,1.0,53,200
GPR146,0.26,1.0,52,200
TNMD,0.255,1.0,51,200
WDR51A,0.25,1.0,50,200
KLHL29,0.235,1.0,47,200
SPC25,0.23,1.0,46,200
CIDEC,0.22,1.0,44,200
BUB1,0.215,1.0,43,200
MAMDC2,0.19,1.0,38,200
EPB42,0.19,1.0,38,200
KCNIP2,0.19,1.0,38,200
HOXA4,0.185,1.0,37,200
NPR1,0.155,1.0,31,200
HSPB7,0.135,1.0,27,200
PAQR4,0.125,1.0,25,200
CXCL3,0.115,1.0,23,200
MYOM1,0.115,1.0,23,200
CKS2,0.11,1.0,22,200
KCNJ16,0.1,1.0,20,200
LYVE1,0.085,1.0,17,200
C1orf213,0.085,1.0,17,200
ENTPD7,0.08,1.0,16,200
CENPF,0.08,1.0,16,200
C14orf139,0.08,1.0,16,200
SVEP1,0.075,1.0,15,200
ROBO3,0.06,1.0,12,200
TPX2,0.055,1.0,11,200
PCK1,0.05,1.0,10,200
PCDH9,0.045,1.0,9,200
ANXA1,0.045,1.0,9,200
CAV3,0.03,1.0,6,200
TK1,0.02,1.0,4,200
NPY2R,0.015,1.0,3,200
ADAM33,0.015,1.0,3,200
CLCA4,0.015,1.0,3,200
CAT,0.015,1.0,3,200
CLEC3B,0.015,1.0,3,200
HEPACAM,0.015,1.0,3,200
VWCE,0.015,1.0,3,200
MAP1LC3C,0.01,1.0,2,200
LRRC2,0.01,1.0,2,200
CFL2,0.01,1.0,2,200
ADH4,0.01,1.0,2,200
USP44,0.005,1.0,1,200
LGI4,0.005,1.0,1,200
OXTR,0.005,1.0,1,200
CORO2B,0.005,1.0,1,200
ADH5,0.005,1.0,1,200
TNAP,0.005,1.0,1,200
RYR3,0.005,1.0,1,200
HHATL,0.005,1.0,1,200
NUF2,0.005,1.0,1,200
FKBP1A,0.0,0.0,0,200
LRPAP1,0.0,0.0,0,200
CCDC58,0.0,0.0,0,200
TEX101,0.0,0.0,0,200
KIAA0152,0.0,0.0,0,200
LHX9,0.0,0.0,0,200
SLCO4C1,0.0,0.0,0,200
IL2RB,0.0,0.0,0,200
FLNA,0.0,0.0,0,200
APOL3,0.0,0.0,0,200
C20orf197,0.0,0.0,0,200
FAM119B,0.0,0.0,0,200
CYP2J2,0.0,0.0,0,200
SLC22A10,0.0,0.0,0,200
HEATR3,0.0,0.0,0,200
GPR39,0.0,0.0,0,200
GLI4,0.0,0.0,0,200
OR5T1,0.0,0.0,0,200
KCNN4,0.0,0.0,0,200
FAM81A,0.0,0.0,0,200
SULT1B1,0.0,0.0,0,200
SYT9,0.0,0.0,0,200
STRN,0.0,0.0,0,200
FAM110B,0.0,0.0,0,200
ATOH7,0.0,0.0,0,200
CXCL16,0.0,0.0,0,200
ONECUT2,0.0,0.0,0,200
APBB1IP,0.0,0.0,0,200
CCDC73,0.0,0.0,0,200
RPS14,0.0,0.0,0,200
DHODH,0.0,0.0,0,200
KCNJ15,0.0,0.0,0,200
UAP1,0.0,0.0,0,200
SLC14A1,0.0,0.0,0,200
ZSCAN22,0.0,0.0,0,200
NAT12,0.0,0.0,0,200
XIRP2,0.0,0.0,0,200
GATAD2B,0.0,0.0,0,200
PMM2,0.0,0.0,0,200
SALL3,0.0,0.0,0,200
TMED1,0.0,0.0,0,200
KIAA0754,0.0,0.0,0,200
CCDC67,0.0,0.0,0,200
HGSNAT,0.0,0.0,0,200
MUTED,0.0,0.0,0,200
CHN1,0.0,0.0,0,200
PARD3B,0.0,0.0,0,200
CYP46A1,0.0,0.0,0,200
NME3,0.0,0.0,0,200
DBR1,0.0,0.0,0,200
PSME3,0.0,0.0,0,200
PHF10,0.0,0.0,0,200
HKDC1,0.0,0.0,0,200
CLEC4F,0.0,0.0,0,200
DCTN5,0.0,0.0,0,200
HES4,0.0,0.0,0,200
GABARAPL3,0.0,0.0,0,200
TRIT1,0.0,0.0,0,200
C6orf47,0.0,0.0,0,200
SYNPO,0.0,0.0,0,200
LOC440295,0.0,0.0,0,200
ZNF436,0.0,0.0,0,200
HOXD9,0.0,0.0,0,200
C4orf14,0.0,0.0,0,200
C19orf63,0.0,0.0,0,200
ALDOB,0.0,0.0,0,200
PTK6,0.0,0.0,0,200
FKBP9,0.0,0.0,0,200
GPT2,0.0,0.0,0,200
LGALS8,0.0,0.0,0,200
GMPS,0.0,0.0,0,200
BECN1,0.0,0.0,0,200
FANCE,0.0,0.0,0,200
PLAC8,0.0,0.0,0,200
REM1,0.0,0.0,0,200
KIAA0947,0.0,0.0,0,200
C9orf19,0.0,0.0,0,200
ZNF330,0.0,0.0,0,200
CLUAP1,0.0,0.0,0,200
C11orf31,0.0,0.0,0,200
RFX4,0.0,0.0,0,200
STAC3,0.0,0.0,0,200
BCL11A,0.0,0.0,0,200
RAMP2,0.0,0.0,0,200
SIGLEC11,0.0,0.0,0,200
BRF2,0.0,0.0,0,200
LCE1D,0.0,0.0,0,200
C1orf127,0.0,0.0,0,200
CST2,0.0,0.0,0,200
TLL1,0.0,0.0,0,200
PSMC3,0.0,0.0,0,200
C2orf42,0.0,0.0,0,200
CENPC1,0.0,0.0,0,200
ABLIM3,0.0,0.0,0,200
FLJ37464,0.0,0.0,0,200
BMPR1B,0.0,0.0,0,200
RHBDD3,0.0,0.0,0,200
MGC20983,0.0,0.0,0,200
MRPL16,0.0,0.0,0,200
SEP15,0.0,0.0,0,200
SGOL2,0.0,0.0,0,200
POMT2,0.0,0.0,0,200
ARL15,0.0,0.0,0,200
TMTC4,0.0,0.0,0,200
SSX2IP,0.0,0.0,0,200
CCDC121,0.0,0.0,0,200
CNP,0.0,0.0,0,200
CITED4,0.0,0.0,0,200
C2orf32,0.0,0.0,0,200
ARF3,0.0,0.0,0,200
RAB27A,0.0,0.0,0,200
PAPLN,0.0,0.0,0,200
CCT5,0.0,0.0,0,200
LILRA3,0.0,0.0,0,200
JARID1C,0.0,0.0,0,200
OR4M1,0.0,0.0,0,200
CXXC4,0.0,0.0,0,200
C6orf25,0.0,0.0,0,200
MLNR,0.0,0.0,0,200
KIAA1804,0.0,0.0,0,200
CLEC4G,0.0,0.0,0,200
FLJ25328,0.0,0.0,0,200
ART3,0.0,0.0,0,200
RTKN,0.0,0.0,0,200
SCAMP2,0.0,0.0,0,200
UNQ1887,0.0,0.0,0,200
TMEM55A,0.0,0.0,0,200
OR1J4,0.0,0.0,0,200
QSOX1,0.0,0.0,0,200
CAB39L,0.0,0.0,0,200
C16orf61,0.0,0.0,0,200
UNC13C,0.0,0.0,0,200
IARS2,0.0,0.0,0,200
SCYL1BP1,0.0,0.0,0,200
NOLC1,0.0,0.0,0,200
CCDC128,0.0,0.0,0,200
