model,cv_auc_mean,cv_auc_std,test_auc,test_pr_auc,test_balanced_acc,test_sensitivity,test_specificity,test_mcc,fit_seconds
Logistic Regression (L2),1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0
Logistic Regression (L1),1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.7
Elastic Net,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.3
LDA (Ledoit-Wolf),0.9888888888888889,0.022222222222222233,1.0,1.0,1.0,1.0,1.0,1.0,7.9
PLS-DA,1.0,0.0,1.0,1.0,0.929245283018868,0.8584905660377359,1.0,0.6176984399231054,8.7
Shrunken Centroids (PAM),0.9893417366946778,0.005821076062003246,0.9886006289308175,0.9983039364972612,0.934748427672956,0.9528301886792453,0.9166666666666666,0.7676292132770449,8.8
SVM (RBF),1.0,0.0,1.0,1.0,0.9583333333333333,1.0,0.9166666666666666,0.95294264700113,8.6
Random Forest,0.9995238095238095,0.000952380952380949,0.9992138364779873,0.9999118321283724,0.9583333333333333,1.0,0.9166666666666666,0.95294264700113,17.2
Extra Trees,0.9997619047619046,0.0004761904761904745,0.9992138364779873,0.9999118321283724,0.9583333333333333,1.0,0.9166666666666666,0.95294264700113,12.1
Gradient Boosting,1.0,0.0,0.9984276729559748,0.999822832484371,0.9583333333333333,1.0,0.9166666666666666,0.95294264700113,183.4
Naive Bayes,0.9951338313103019,0.002448623254582914,0.9536163522012577,0.989695651386886,0.9536163522012578,0.9905660377358491,0.9166666666666666,0.9072327044025157,7.6
k-NN (k=5),0.9985854341736694,0.0022809790573149543,1.0,1.0,0.9583333333333333,1.0,0.9166666666666666,0.95294264700113,8.1
Ensemble (soft vote),1.0,0.0,1.0,1.0,0.9583333333333333,1.0,0.9166666666666666,0.95294264700113,15.6
Stacking (LR meta),1.0,0.0,1.0,1.0,0.9583333333333333,1.0,0.9166666666666666,0.95294264700113,41.3
