task,task_title,gene,selection_freq,direction_consistency
tumor_vs_normal,Опухоль или норма,ATOH8,1.0,1.0
tumor_vs_normal,Опухоль или норма,GLYAT,1.0,1.0
tumor_vs_normal,Опухоль или норма,CAV1,1.0,1.0
tumor_vs_normal,Опухоль или норма,PAFAH1B3,1.0,1.0
tumor_vs_normal,Опухоль или норма,CD300LG,1.0,1.0
tumor_vs_normal,Опухоль или норма,FXYD1,1.0,1.0
tumor_vs_normal,Опухоль или норма,COL10A1,1.0,1.0
tumor_vs_normal,Опухоль или норма,MMP11,1.0,1.0
tumor_vs_normal,Опухоль или норма,LRRC3B,1.0,1.0
tumor_vs_normal,Опухоль или норма,LOC387911,1.0,1.0
tumor_vs_normal,Опухоль или норма,CA4,1.0,1.0
tumor_vs_normal,Опухоль или норма,BTNL9,0.9916666666666667,1.0
histology,Гистотип: протоковый vs дольковый,CDH1,1.0,1.0
histology,Гистотип: протоковый vs дольковый,GLTSCR2,0.9666666666666667,1.0
histology,Гистотип: протоковый vs дольковый,PGM5,0.8833333333333333,1.0
histology,Гистотип: протоковый vs дольковый,MFAP4,0.8416666666666667,1.0
histology,Гистотип: протоковый vs дольковый,ALDH1A1,0.825,1.0
histology,Гистотип: протоковый vs дольковый,C10orf56,0.8166666666666667,1.0
histology,Гистотип: протоковый vs дольковый,RBMS3,0.7833333333333333,1.0
histology,Гистотип: протоковый vs дольковый,TSPAN7,0.7666666666666667,1.0
histology,Гистотип: протоковый vs дольковый,NEFL,0.725,1.0
histology,Гистотип: протоковый vs дольковый,HMG4L,0.675,1.0
histology,Гистотип: протоковый vs дольковый,GPRASP1,0.625,1.0
histology,Гистотип: протоковый vs дольковый,C1QTNF7,0.6,1.0
size,Размер опухоли: T1 vs T2+,KIF4B,0.9666666666666667,1.0
size,Размер опухоли: T1 vs T2+,RBBP5,0.95,1.0
size,Размер опухоли: T1 vs T2+,CX3CR1,0.8583333333333333,1.0
size,Размер опухоли: T1 vs T2+,CCNF,0.85,1.0
size,Размер опухоли: T1 vs T2+,PPP2R5D,0.8083333333333333,1.0
size,Размер опухоли: T1 vs T2+,TPX2,0.7916666666666666,1.0
size,Размер опухоли: T1 vs T2+,RRM2,0.7666666666666667,1.0
size,Размер опухоли: T1 vs T2+,KIF4A,0.7333333333333333,1.0
size,Размер опухоли: T1 vs T2+,TBRG4,0.675,1.0
size,Размер опухоли: T1 vs T2+,FAM54A,0.6666666666666666,1.0
size,Размер опухоли: T1 vs T2+,UBE2C,0.6666666666666666,1.0
size,Размер опухоли: T1 vs T2+,NCAPH,0.5833333333333334,1.0
nodal,Лимфоузлы: N0 vs N+,RWDD3,0.9583333333333334,1.0
nodal,Лимфоузлы: N0 vs N+,HIST1H2AG,0.8416666666666667,1.0
nodal,Лимфоузлы: N0 vs N+,PRMT7,0.775,1.0
nodal,Лимфоузлы: N0 vs N+,RGS4,0.7166666666666667,1.0
nodal,Лимфоузлы: N0 vs N+,ARRDC1,0.6833333333333333,1.0
nodal,Лимфоузлы: N0 vs N+,PBX1,0.65,1.0
nodal,Лимфоузлы: N0 vs N+,RPL5,0.6083333333333333,1.0
nodal,Лимфоузлы: N0 vs N+,TM7SF2,0.6083333333333333,1.0
nodal,Лимфоузлы: N0 vs N+,LRP6,0.575,1.0
nodal,Лимфоузлы: N0 vs N+,SRD5A2L,0.5666666666666667,1.0
nodal,Лимфоузлы: N0 vs N+,C11orf80,0.5083333333333333,1.0
nodal,Лимфоузлы: N0 vs N+,COG8,0.5,1.0
stage,Стадия: ранняя vs поздняя,ASXL2,0.9166666666666666,1.0
stage,Стадия: ранняя vs поздняя,ACOT8,0.825,1.0
stage,Стадия: ранняя vs поздняя,RBBP8,0.8083333333333333,1.0
stage,Стадия: ранняя vs поздняя,RANBP2,0.7416666666666667,1.0
stage,Стадия: ранняя vs поздняя,PBX1,0.6166666666666667,1.0
stage,Стадия: ранняя vs поздняя,SFRS11,0.6166666666666667,1.0
stage,Стадия: ранняя vs поздняя,USP34,0.6,1.0
stage,Стадия: ранняя vs поздняя,SEPT10,0.575,1.0
stage,Стадия: ранняя vs поздняя,TYW3,0.575,1.0
stage,Стадия: ранняя vs поздняя,C20orf142,0.5583333333333333,1.0
stage,Стадия: ранняя vs поздняя,CPT1A,0.5583333333333333,1.0
stage,Стадия: ранняя vs поздняя,WDR55,0.525,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),MCEE,0.8666666666666667,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),MRPS2,0.7833333333333333,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),MCM9,0.7583333333333333,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),C19orf56,0.7333333333333333,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),BCHE,0.5833333333333334,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),OR10AG1,0.525,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),PRH2,0.4583333333333333,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),MBD5,0.43333333333333335,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),SPAG11B,0.3333333333333333,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),UQCRC1,0.30833333333333335,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),GRIA3,0.2833333333333333,1.0
vital,Витальный статус (НЕГАТИВНЫЙ КОНТРОЛЬ),HES5,0.2833333333333333,1.0
