model,normalization,n_genes,worst_auc,mean_auc,auc_TCGA,auc_FUSCC,auc_VARLEY
Logistic Regression (L1),logtpm,50,0.9888888888888889,0.9931759743178704,0.9978669252211853,0.9888888888888889,0.9927721088435374
Logistic Regression (L1),zsample,100,0.9881313131313131,0.9950467899178661,0.9984971518603805,0.9881313131313131,0.9985119047619048
Logistic Regression (L1),zsample,50,0.9877525252525253,0.9929368692261069,0.9970104633781764,0.9877525252525253,0.9940476190476191
PLS-DA,zsample,50,0.9875315656565656,0.9913421487672768,0.9977618874479861,0.9875315656565656,0.9887329931972789
PLS-DA,logtpm,50,0.987310606060606,0.9935056067303024,0.9978830848786006,0.987310606060606,0.9953231292517007
LDA (Ledoit-Wolf),logtpm,200,0.9866477272727273,0.9947640098364795,0.998707227406779,0.9866477272727273,0.998937074829932
Logistic Regression (L1),zsample,25,0.9866477272727272,0.992633894569753,0.9963559972528583,0.9866477272727272,0.9948979591836735
Elastic Net,zsample,50,0.9866161616161616,0.9918055356516279,0.9970912616652527,0.9866161616161616,0.9917091836734695
Logistic Regression (L1),logtpm,200,0.986584595959596,0.9946121996029907,0.9993778531895123,0.986584595959596,0.997874149659864
Logistic Regression (L1),logtpm,100,0.9865214646464646,0.9945990518720339,0.9987637862077323,0.9865214646464646,0.9985119047619048
PLS-DA,zsample,100,0.9864583333333333,0.9927892862089691,0.9982870763139821,0.9864583333333333,0.9936224489795918
LDA (Ledoit-Wolf),zsample,200,0.9864583333333332,0.994056063877092,0.9991112188421605,0.9864583333333332,0.9965986394557823
LDA (Ledoit-Wolf),logtpm,100,0.986016414141414,0.9945195798194676,0.9990304205550842,0.986016414141414,0.9985119047619048
Elastic Net,logtpm,50,0.9856376262626263,0.9929649429509295,0.997721488304448,0.9856376262626263,0.9955357142857142
Logistic Regression (L1),zsample,200,0.9856060606060606,0.9943164836862787,0.9992566557588979,0.9856060606060606,0.9980867346938775
LDA (Ledoit-Wolf),rank,200,0.9854482323232323,0.9942568147144542,0.9996606471942795,0.9854482323232323,0.9976615646258504
Logistic Regression (L2),logtpm,100,0.9854008838383839,0.9940684784184542,0.9985052316890881,0.9854008838383839,0.9982993197278911
Logistic Regression (L2),logtpm,50,0.9850694444444443,0.99233756526958,0.9968327071466085,0.9850694444444443,0.9951105442176871
Logistic Regression (L2),zsample,100,0.984943181818182,0.9931356974658545,0.9959520058174767,0.984943181818182,0.9985119047619048
Logistic Regression (L2),rank,50,0.9846906565656566,0.992962726713127,0.9990869793560376,0.9846906565656566,0.9951105442176871
Elastic Net,logtpm,100,0.9845959595959597,0.9936557537054015,0.9984971518603806,0.9845959595959597,0.9978741496598639
Elastic Net,zsample,100,0.9845328282828283,0.9936713955171674,0.9981820385407829,0.9845328282828283,0.9982993197278911
Logistic Regression (L1),rank,50,0.9843434343434343,0.9939126044186902,0.9990950591847453,0.9843434343434343,0.9982993197278912
LDA (Ledoit-Wolf),rank,100,0.9843434343434343,0.9939090746465826,0.9992970549024361,0.9843434343434343,0.9980867346938775
Logistic Regression (L2),rank,100,0.9843434343434343,0.99083119238068,0.9981416393972449,0.9843434343434343,0.9900085034013606
LDA (Ledoit-Wolf),zsample,100,0.9842803030303031,0.9921175598806125,0.9983436351149356,0.9842803030303031,0.9937287414965986
Random Forest,zsample,200,0.9842645202020202,0.9914717174416485,0.99631559810932,0.9842645202020202,0.9938350340136054
Elastic Net,logtpm,200,0.9840277777777777,0.9937311373329951,0.99907889952733,0.9840277777777777,0.9980867346938775
PLS-DA,rank,50,0.9836805555555556,0.993570631180737,0.9993697733608047,0.9836805555555556,0.9976615646258504
Random Forest,zsample,50,0.9836647727272728,0.9877559356088744,0.9942714014462893,0.9836647727272728,0.9853316326530612
LDA (Ledoit-Wolf),logtpm,50,0.9836489898989899,0.9924564174043674,0.9979719629943845,0.9836489898989899,0.9957482993197279
Logistic Regression (L1),rank,100,0.9836174242424244,0.9930382325021179,0.9991112188421605,0.9836174242424244,0.9963860544217688
PLS-DA,zsample,25,0.9836174242424243,0.9898093429783853,0.9968650264614389,0.9836174242424243,0.9889455782312926
Logistic Regression (L2),rank,25,0.9836016414141415,0.9928972874630707,0.9982789964852745,0.9836016414141415,0.9968112244897959
Elastic Net,zsample,25,0.9833648989898991,0.9915253155984258,0.9965256736557186,0.9833648989898991,0.9946853741496599
Logistic Regression (L1),rank,25,0.9833333333333333,0.99248484207645,0.9979477235082617,0.9833333333333333,0.9961734693877551
LDA (Ledoit-Wolf),rank,50,0.9833017676767677,0.9935726255293039,0.9993293742172665,0.9833017676767677,0.9980867346938775
Random Forest,logtpm,100,0.9833017676767677,0.9907513585544495,0.995329859006989,0.9833017676767677,0.9936224489795918
LDA (Ledoit-Wolf),rank,25,0.9832386363636364,0.9928005252656918,0.9983517149436433,0.9832386363636364,0.996811224489796
Elastic Net,rank,50,0.9831123737373737,0.9934537719110909,0.9989496222680079,0.9831123737373737,0.9982993197278911
LDA (Ledoit-Wolf),zsample,50,0.9830994897959183,0.9882278671416244,0.9977457277905708,0.9838383838383838,0.9830994897959183
Random Forest,logtpm,50,0.9830808080808082,0.9884171912038665,0.9949258675716075,0.9830808080808082,0.9872448979591837
Logistic Regression (L2),zsample,25,0.9829229797979798,0.9894054918178076,0.9963479174241506,0.9829229797979798,0.9889455782312925
Elastic Net,logtpm,25,0.9828914141414142,0.9903477559066926,0.9938916494970307,0.9828914141414142,0.9942602040816326
Random Forest,logtpm,200,0.9827493686868687,0.990896825543086,0.9967438290308246,0.9827493686868687,0.9931972789115646
Elastic Net,zsample,200,0.9827020202020202,0.9933789327527317,0.9991354583282834,0.9827020202020202,0.9982993197278912
Random Forest,rank,200,0.9827020202020202,0.9913478159994816,0.9979315638508464,0.9827020202020202,0.9934098639455783
Random Forest,rank,100,0.9826862373737375,0.9914113761657405,0.9970751020078376,0.9826862373737375,0.9944727891156462
PLS-DA,logtpm,100,0.9826704545454545,0.9932302172833083,0.9989334626105927,0.9826704545454545,0.9980867346938775
Random Forest,zsample,100,0.9826704545454545,0.9904823214740736,0.9943037207611198,0.9826704545454545,0.9944727891156463
Logistic Regression (L2),logtpm,200,0.9826704545454544,0.9926202314394978,0.9988041853512705,0.9826704545454544,0.9963860544217686
Elastic Net,rank,25,0.9826388888888888,0.9919152118623611,0.9979962024805074,0.9826388888888888,0.9951105442176871
LDA (Ledoit-Wolf),zsample,25,0.9825441919191918,0.9896633474087831,0.9970751020078374,0.9825441919191918,0.9893707482993197
Shrunken Centroids (PAM),rank,25,0.9824617346938775,0.9873311491364823,0.9967034298872863,0.9828282828282829,0.9824617346938775
Logistic Regression (L2),rank,200,0.9823863636363634,0.9912330281124323,0.9989657819254232,0.9823863636363634,0.9923469387755103
Logistic Regression (L1),rank,200,0.9823232323232323,0.9931836652288286,0.9993536137033894,0.9823232323232323,0.997874149659864
Logistic Regression (L1),logtpm,25,0.9822601010101011,0.9894160715309018,0.9936411748070941,0.9822601010101011,0.9923469387755102
PLS-DA,rank,25,0.9822285353535354,0.9925481529881756,0.9983921140871813,0.9822285353535354,0.9970238095238095
Random Forest,rank,25,0.9821180555555555,0.9907883647523702,0.9957742495859089,0.9821180555555555,0.9944727891156463
Shrunken Centroids (PAM),zsample,25,0.9820365646258504,0.9848360047891598,0.9897062982264777,0.9827651515151514,0.9820365646258504
PLS-DA,rank,100,0.9818181818181817,0.9929883822981197,0.9992728154163132,0.9818181818181817,0.9978741496598639
Logistic Regression (L2),logtpm,25,0.9816919191919192,0.9894804982649313,0.9935522966913101,0.9816919191919192,0.9931972789115646
Elastic Net,rank,100,0.9815656565656565,0.9924359447261434,0.9991435381569911,0.9815656565656565,0.9965986394557824
PLS-DA,logtpm,25,0.9813446969696968,0.9895584896245531,0.9934957378903567,0.9813446969696968,0.9938350340136054
Elastic Net,rank,200,0.9812184343434344,0.9925050197611857,0.9992728154163132,0.9812184343434344,0.9970238095238095
Logistic Regression (L2),zsample,200,0.9811553030303031,0.991452349850412,0.9989415424393002,0.9811553030303031,0.9942602040816327
Shrunken Centroids (PAM),logtpm,25,0.9804766414141414,0.9845900615609535,0.9858360602755222,0.9804766414141414,0.9874574829931972
PLS-DA,zsample,200,0.9801136363636365,0.991945714943793,0.9993374540459742,0.9801136363636365,0.9963860544217686
Random Forest,zsample,25,0.979498106060606,0.986137424309069,0.9927321940774856,0.979498106060606,0.9861819727891157
PLS-DA,logtpm,200,0.9793876262626263,0.9925360352750646,0.9990708196986224,0.9793876262626263,0.9991496598639455
LDA (Ledoit-Wolf),logtpm,25,0.9793876262626262,0.9890300234290464,0.9938674100109078,0.9793876262626262,0.9938350340136054
PLS-DA,rank,200,0.9786616161616162,0.9921255595783142,0.9996283278794489,0.9786616161616162,0.9980867346938775
SVM (RBF),rank,25,0.9780618686868686,0.9901202108381,0.9971882196097444,0.9780618686868686,0.9951105442176871
Random Forest,rank,50,0.977935606060606,0.9901904044020476,0.9977376479618633,0.977935606060606,0.9948979591836735
SVM (RBF),rank,100,0.975820707070707,0.9902974196335822,0.9984729123742576,0.975820707070707,0.9965986394557823
Random Forest,logtpm,25,0.9754892676767676,0.9827921857880618,0.9890437522724518,0.9754892676767676,0.983843537414966
Shrunken Centroids (PAM),rank,50,0.9754464285714286,0.9828098401528896,0.9957419302710784,0.9772411616161617,0.9754464285714286
SVM (RBF),zsample,25,0.975094696969697,0.987597088876317,0.9964125560538116,0.975094696969697,0.9912840136054422
SVM (RBF),zsample,100,0.9744318181818182,0.989273602506306,0.9976406900173717,0.9744318181818182,0.995748299319728
SVM (RBF),rank,200,0.9742739898989901,0.9893657772881829,0.998925382781885,0.9742739898989901,0.9948979591836735
