model,cv_auc_mean,cv_auc_std,test_auc,test_sensitivity,test_specificity,test_mcc,fit_seconds
Logistic Regression (L2),0.9998795656174746,0.000130944976114025,0.9995439689898913,0.9865470852017937,1.0,0.9689225644590159,17.8
Logistic Regression (L1),0.9999043748505857,0.00019125029882860467,0.9996959793265942,0.9820627802690582,1.0,0.9590149049264161,17.7
Elastic Net,0.9999039916067272,0.00013946422813793693,0.9995439689898914,0.9865470852017937,1.0,0.9689225644590159,18.7
LDA (Ledoit-Wolf),0.9999039916067272,0.00013946422813793693,0.9994679638215398,0.9955156950672646,1.0,0.9894057644951051,19.6
PLS-DA,0.9999039916067272,0.00013946422813793693,0.9993919586531884,0.8968609865470852,1.0,0.8033071748401928,18.5
Shrunken Centroids (PAM),0.999565813741975,0.000348879868500449,0.9969597932659421,0.9775784753363229,1.0,0.9493182590420731,18.8
SVM (RBF),0.9994008098407268,0.0009738328794485451,0.996275746750779,0.9865470852017937,1.0,0.9689225644590159,18.1
Random Forest,0.9999041251614053,8.952009579917247e-05,0.9994679638215398,0.9955156950672646,0.9830508474576272,0.9785665425248917,27.4
Extra Trees,0.9998315004502244,9.60388216047349e-05,0.9996199741582428,0.9865470852017937,1.0,0.9689225644590159,23.0
Gradient Boosting,0.9999273781921818,5.930157916712517e-05,0.9996199741582428,0.9865470852017937,1.0,0.9689225644590159,52.1
Naive Bayes,0.9912299738389612,0.012690584023931474,0.9953636847305618,0.9865470852017937,1.0,0.9689225644590159,18.2
k-NN (k=5),0.9999760937126464,4.781257470711786e-05,0.9953636847305616,0.9865470852017937,1.0,0.9689225644590159,14.7
Ensemble (soft vote),0.9999034719048282,8.969721138630624e-05,0.9994679638215398,0.9865470852017937,1.0,0.9689225644590159,24.4
Stacking (LR meta),0.9999278978940808,9.581964545516264e-05,0.9995439689898914,0.9910313901345291,1.0,0.97904982389616,62.5
