normalization,n_genes,tcga_cv_auc,healthy_flagged,n_healthy,healthy_fpr
logtpm,10,0.998724789970647,1,180,0.005555555555555556
logtpm,25,0.999122681828253,0,180,0.0
logtpm,50,0.9994787644359929,2,180,0.011111111111111112
logtpm,100,0.9997596744257887,5,180,0.027777777777777776
logtpm,200,0.9997174995505567,11,180,0.06111111111111111
logtpm,500,0.9994381800204085,6,180,0.03333333333333333
zsample,10,0.9986623229945515,2,180,0.011111111111111112
zsample,25,0.9991195009089578,3,180,0.016666666666666666
zsample,50,0.9992758423580709,0,180,0.0
zsample,100,0.9996769151349723,1,180,0.005555555555555556
zsample,200,0.999758083966141,6,180,0.03333333333333333
zsample,500,0.9995973367634509,6,180,0.03333333333333333
rank,10,0.999355420729592,1,180,0.005555555555555556
rank,25,0.9993991860644715,5,180,0.027777777777777776
rank,50,0.9995193488515774,2,180,0.011111111111111112
rank,100,0.9995567523478666,2,180,0.011111111111111112
rank,200,0.9996363307193878,14,180,0.07777777777777778
rank,500,0.9993586016488873,12,180,0.06666666666666667
