gene,f_score,p_value,importance,mean_normal,mean_tumor,delta,direction,chrom,start,end,strand,cytoband,locus,locus_short
COL10A1,1295.4799408883268,9.04479037383012e-151,0.38058117032051086,0.879873,5.472294,4.592421,1.0,chr6,116118908.0,116126132.0,-,6q22.1,"chr6:116,118,908-116,126,132 (-, 6q22.1)",6q22.1
ADH4,373.40144470894,8.794496352212674e-65,0.28390181064605713,-2.6575782,-4.639632,-1.982054,-1.0,chr4,99123656.0,99144298.0,-,4q23,"chr4:99,123,656-99,144,298 (-, 4q23)",4q23
WISP1,467.8180761318357,9.00830257337424e-77,0.28118696808815,-0.52740175,2.2569473,2.784349,1.0,chr8,133191038.0,133231689.0,+,8q24.22,"chr8:133,191,038-133,231,689 (+, 8q24.22)",8q24.22
MMP11,1087.6934669134348,7.838665655417355e-136,0.28090542554855347,-0.43215194,3.0039656,3.4361176,1.0,chr22,23772848.0,23784316.0,+,22q11.23,"chr22:23,772,848-23,784,316 (+, 22q11.23)",22q11.23
HAS3,294.96347802672926,6.973760034065297e-54,0.23751485347747803,1.0104126,-1.1261876,-2.1366,-1.0,chr16,69105652.0,69118716.0,+,16q22.1,"chr16:69,105,652-69,118,716 (+, 16q22.1)",16q22.1
CCDC36,289.7035856405148,4.063887268078236e-53,0.23525619506835938,0.3980049,-0.6780055,-1.0760105,-1.0,chr3,49198427.0,49258106.0,+,3p21.31,"chr3:49,198,427-49,258,106 (+, 3p21.31)",3p21.31
FN1,319.49425735203795,2.153993310028404e-57,0.21145416796207428,-2.3188782,0.20136431,2.5202425,1.0,chr2,215360864.0,215436068.0,-,2q35,"chr2:215,360,864-215,436,068 (-, 2q35)",2q35
LRRC3B,867.0914607100729,8.633158267585139e-118,0.20473811030387878,2.685366,-0.18908624,-2.874452,-1.0,chr3,26622805.0,26710774.0,+,3p24.1,"chr3:26,622,805-26,710,774 (+, 3p24.1)",3p24.1
INHBA,455.72651050641963,2.682273766591955e-75,0.19710595905780792,-1.0197595,1.8623257,2.8820853,1.0,chr7,41685113.0,41703090.0,-,7p14.1,"chr7:41,685,113-41,703,090 (-, 7p14.1)",7p14.1
USP44,356.1898822742619,1.8073241955833204e-62,0.18769724667072296,-2.4003816,-3.949417,-1.5490355,-1.0,chr12,95516559.0,95551476.0,-,12q22,"chr12:95,516,559-95,551,476 (-, 12q22)",12q22
ENTPD7,418.8181264618018,1.0860114570587729e-70,0.17477181553840637,-0.4987623,1.201701,1.7004633,1.0,chr10,99659508.0,99711245.0,+,10q24.2,"chr10:99,659,508-99,711,245 (+, 10q24.2)",10q24.2
CXCL3,410.66412717655135,1.1928916806740882e-69,0.16912460327148438,-0.74191153,-3.0501544,-2.3082428,-1.0,chr4,74036590.0,74038689.0,-,4q13.3,"chr4:74,036,590-74,038,689 (-, 4q13.3)",4q13.3
PPAPDC1A,378.4422927070113,1.8824780978018395e-65,0.16841578483581543,-2.499862,1.2500123,3.749874,1.0,chr10,120456953.0,120592065.0,+,10q26.12,"chr10:120,456,953-120,592,065 (+, 10q26.12)",10q26.12
LRRTM2,440.0621065214034,2.309860939671931e-73,0.16319383680820465,1.1655111,-0.045312233,-1.2108234,-1.0,chr5,138868920.0,138875335.0,-,5q31.2,"chr5:138,868,920-138,875,335 (-, 5q31.2)",5q31.2
CACHD1,339.0860276883309,3.9613930756858344e-60,0.16263167560100555,1.5262624,-0.935695,-2.4619575,-1.0,chr1,64470128.0,64693058.0,+,1p31.3,"chr1:64,470,128-64,693,058 (+, 1p31.3)",1p31.3
IGSF10,568.7354849705629,1.8905646437387845e-88,0.1581788957118988,-0.23168172,-3.5034842,-3.2718024,-1.0,chr3,151436204.0,151539316.0,-,3q25.1,"chr3:151,436,204-151,539,316 (-, 3q25.1)",3q25.1
CES1,487.16548964359873,4.2783185855579e-79,0.15055671334266663,1.4177711,-1.2799971,-2.6977682,-1.0,chr16,55802851.0,55833096.0,-,16q12.2,"chr16:55,802,851-55,833,096 (-, 16q12.2)",16q12.2
KIF26B,348.85562347975326,1.8010165750931558e-61,0.1442086398601532,0.47651923,2.0714328,1.5949136,1.0,chr1,245154984.0,245709432.0,+,1q44,"chr1:245,154,984-245,709,432 (+, 1q44)",1q44
CXCL2,524.1376531747101,2.0226612462865747e-83,0.14306364953517914,3.0844493,-1.065047,-4.149496,-1.0,chr4,74097039.0,74099195.0,-,4q13.3,"chr4:74,097,039-74,099,195 (-, 4q13.3)",4q13.3
CA4,843.6771948172003,1.0229678789661662e-115,0.14175547659397125,2.731037,-1.6995215,-4.430558,-1.0,chr17,60149972.0,60179021.0,+,17q23.1,"chr17:60,149,972-60,179,021 (+, 17q23.1)",17q23.1
HSD17B6,333.06349687432197,2.7068117982020216e-59,0.14088256657123566,-1.2157788,1.3399847,2.5557635,1.0,chr12,56763323.0,56787790.0,+,12q13.3,"chr12:56,763,323-56,787,790 (+, 12q13.3)",12q13.3
ARHGAP20,472.02348100161146,2.792618500808927e-77,0.13997001945972443,2.3786447,0.30001175,-2.0786328,-1.0,chr11,110577042.0,110713189.0,-,11q22.3,"chr11:110,577,042-110,713,189 (-, 11q22.3)",11q22.3
KCNE1,308.6747137395317,7.404728617215581e-56,0.1311701238155365,2.47603,0.5458137,-1.9302164,-1.0,chr21,34446687.0,34512210.0,-,21q22.12,"chr21:34,446,687-34,512,210 (-, 21q22.12)",21q22.12
CPN2,309.4299189385373,5.776596420344938e-56,0.1295284777879715,-0.025993997,-0.8672761,-0.84128207,-1.0,chr3,194339767.0,194351328.0,-,3q29,"chr3:194,339,767-194,351,328 (-, 3q29)",3q29
TPM3,453.15427740599864,5.549442812533963e-75,0.1292920857667923,-0.6562995,0.56066954,1.216969,1.0,chr1,154155303.0,154192100.0,-,1q21.3,"chr1:154,155,303-154,192,100 (-, 1q21.3)",1q21.3
ZNF668,302.1781646031569,6.323641695529604e-55,0.12660881876945496,-0.5169959,0.42768025,0.94467616,1.0,chr16,31060842.0,31074240.0,-,16p11.2,"chr16:31,060,842-31,074,240 (-, 16p11.2)",16p11.2
PSENEN,285.99661483657945,1.416471754934462e-52,0.1258257031440735,-0.3622705,0.68514436,1.0474149,1.0,chr19,35745650.0,35747519.0,+,19q13.12,"chr19:35,745,650-35,747,519 (+, 19q13.12)",19q13.12
ADAM33,363.6825149213837,1.7580403610184297e-63,0.1246194913983345,0.90694666,-0.013606317,-0.92055297,-1.0,chr20,3667974.0,3682010.0,-,20p13,"chr20:3,667,974-3,682,010 (-, 20p13)",20p13
SSTR1,339.931988920257,3.027272277580542e-60,0.12216989696025848,-1.025119,-3.4131634,-2.3880444,-1.0,chr14,38207903.0,38213067.0,+,14q21.1,"chr14:38,207,903-38,213,067 (+, 14q21.1)",14q21.1
FIGF,507.2990043404141,1.809981741273201e-81,0.1199101060628891,5.666358,1.1070201,-4.5593376,-1.0,chrX,15345595.0,15384413.0,-,Xp22.2,"chrX:15,345,595-15,384,413 (-, Xp22.2)",Xp22.2
AKR1C1,334.9625419589895,1.4746656104439125e-59,0.11918704211711884,0.9256913,-2.4492168,-3.3749082,-1.0,chr10,4963414.0,4983282.0,+,10p15.1,"chr10:4,963,414-4,983,282 (+, 10p15.1)",10p15.1
ADAMTS5,472.06990874478623,2.7568150672418636e-77,0.1178283542394638,5.3132358,2.062238,-3.2509978,-1.0,chr21,26917921.0,26967088.0,-,21q21.3,"chr21:26,917,921-26,967,088 (-, 21q21.3)",21q21.3
ADH5,383.08607116202757,4.582342983385853e-66,0.1174590215086937,0.6439003,-0.53161216,-1.1755124,-1.0,chr4,99070978.0,99088788.0,-,4q23,"chr4:99,070,978-99,088,788 (-, 4q23)",4q23
SCN4A,304.4132721793059,3.01808429204185e-55,0.11609040200710297,1.268791,0.3190693,-0.9497217,-1.0,chr17,63938553.0,63972918.0,-,17q23.3,"chr17:63,938,553-63,972,918 (-, 17q23.3)",17q23.3
DACT2,371.80456553464154,1.435594085695513e-64,0.11549123376607895,2.268984,-1.4561492,-3.7251334,-1.0,chr6,168292829.0,168319777.0,-,6q27,"chr6:168,292,829-168,319,777 (-, 6q27)",6q27
HHATL,306.32658532897307,1.6046827820506716e-55,0.11547810584306717,0.01568307,-1.5759002,-1.5915833,-1.0,chr3,42692662.0,42702798.0,-,3p22.1,"chr3:42,692,662-42,702,798 (-, 3p22.1)",3p22.1
CNTNAP3,322.9913706092381,6.928496925802138e-58,0.11437420547008514,-0.1386651,-2.6094534,-2.4707882,-1.0,chr9,39064709.0,39288167.0,-,9p12,"chr9:39,064,709-39,288,167 (-, 9p12)",9p12
COL11A1,478.9739612648724,4.0719198133488785e-78,0.11271534115076065,0.22954369,5.4536743,5.2241306,1.0,chr1,102876466.0,103108522.0,-,1p21.1,"chr1:102,876,466-103,108,522 (-, 1p21.1)",1p21.1
C1QTNF9,554.5773396855236,7.109139296063745e-87,0.11240123212337494,3.8530617,1.0020694,-2.8509922,-1.0,chr13,24307165.0,24322531.0,+,13q12.12,"chr13:24,307,165-24,322,531 (+, 13q12.12)",13q12.12
TACC3,355.2166751655871,2.449499767813591e-62,0.11165907233953476,-3.0874426,-1.1375034,1.9499393,1.0,chr4,1721520.0,1745170.0,+,4p16.3,"chr4:1,721,520-1,745,170 (+, 4p16.3)",4p16.3
GJB2,341.93422537964653,1.603402449610654e-60,0.11069399863481522,-0.62759763,3.1544056,3.7820032,1.0,chr13,20187469.0,20192938.0,-,13q12.11,"chr13:20,187,469-20,192,938 (-, 13q12.11)",13q12.11
WDR51A,451.42882455394147,9.04672684328038e-75,0.1095113754272461,-2.559446,-0.76684636,1.7925997,1.0,chr3,52075225.0,52154423.0,-,3p21.2,"chr3:52,075,225-52,154,423 (-, 3p21.2)",3p21.2
UBAP2L,335.38831659773996,1.2871567012022353e-59,0.10888918489217758,-1.397186,-0.26844272,1.1287433,1.0,chr1,154220171.0,154271510.0,+,1q21.3,"chr1:154,220,171-154,271,510 (+, 1q21.3)",1q21.3
CRB3,391.1504218634939,4.003369736770819e-67,0.10160183161497116,0.69127876,2.1422775,1.4509988,1.0,chr19,6463776.0,6467219.0,+,19p13.3,"chr19:6,463,776-6,467,219 (+, 19p13.3)",19p13.3
EFCBP1,358.75259850910675,8.128125673929726e-63,0.10131215304136276,-0.51415354,-2.6338477,-2.1196942,-1.0,chr8,90791774.0,90959393.0,+,8q21.3,"chr8:90,791,774-90,959,393 (+, 8q21.3)",8q21.3
NPY2R,359.0015191675431,7.521972665565805e-63,0.1006147563457489,5.2342234,1.1933451,-4.0408783,-1.0,chr4,155173722.0,155217076.0,+,4q32.1,"chr4:155,173,722-155,217,076 (+, 4q32.1)",4q32.1
SNCA,314.9038970378555,9.610798840541804e-57,0.10049513727426529,-1.6302212,-3.1961997,-1.5659784,-1.0,chr4,89724098.0,89838304.0,-,4q22.1,"chr4:89,724,098-89,838,304 (-, 4q22.1)",4q22.1
RHOXF1,313.4097982089373,1.5663417582970915e-56,0.09994415938854218,2.9456677,0.707535,-2.2381327,-1.0,chrX,120109050.0,120115913.0,-,Xq24,"chrX:120,109,050-120,115,913 (-, Xq24)",Xq24
FOXO1,284.72000113137335,2.1801819230281658e-52,0.09896830469369888,2.5468283,0.90600425,-1.6408241,-1.0,chr13,40555666.0,40666641.0,-,13q14.11,"chr13:40,555,666-40,666,641 (-, 13q14.11)",13q14.11
SCN9A,332.4958398196331,3.2464463174557195e-59,0.09694080799818039,-0.08407759,-1.4590594,-1.3749818,-1.0,chr2,166195186.0,166375987.0,-,2q24.3,"chr2:166,195,186-166,375,987 (-, 2q24.3)",2q24.3
EPB42,434.81728175690705,1.0426236923476768e-72,0.09387468546628952,1.2070655,-0.5774561,-1.7845216,-1.0,chr15,43197227.0,43221018.0,-,15q15.2,"chr15:43,197,227-43,221,018 (-, 15q15.2)",15q15.2
TNMD,452.4090409596447,6.852909310511076e-75,0.09207504242658615,3.1703773,-1.0887041,-4.2590814,-1.0,chrX,100584935.0,100599885.0,+,Xq22.1,"chrX:100,584,935-100,599,885 (+, Xq22.1)",Xq22.1
