gene,f_score,p_value,chrom,start,genome_pos,cytoband
COL10A1,1295.5051295528087,9.0092709112541e-151,chr6,116118908.0,1177317232.0,6q22.1
MMP11,1087.7134750735643,7.811171921388217e-136,chr22,23772848.0,2847955902.0,22q11.23
LRRC3B,867.0919008003438,8.6323897623019e-118,chr3,26622805.0,517772756.0,3p24.1
CA4,843.6767178563438,1.023068197192331e-115,chr17,60149972.0,2550930534.0,17q23.1
CAV1,742.9620172179137,2.1642874164316126e-106,chr7,116525008.0,1348529311.0,7q31.2
GLYAT,663.8839490646523,1.4697724438151764e-98,chr11,58708756.0,1867389807.0,11q12.1
CD300LG,662.8574596426225,1.871302475471928e-98,chr17,43847175.0,2534627737.0,17q21.31
PAFAH1B3,646.0023645639662,1.016184340178906e-96,chr19,42297032.0,2696708320.0,19q13.2
FXYD1,612.5130936350548,3.3539273419656066e-93,chr19,35138823.0,2689550111.0,19q13.12
TSLP,602.4060061125293,4.044136482433436e-92,chr5,111070079.0,990730144.0,5q22.1
MYOC,596.2229730409757,1.8743315107408348e-91,chr1,171635416.0,171635416.0,1q24.3
ATOH8,592.8024833450736,4.3933250205413734e-91,chr2,85753990.0,334710412.0,2p11.2
LOC387911,588.9961056373444,1.1369530493878008e-90,,,,
BTNL9,585.876662507198,2.484089948997259e-90,chr5,181040265.0,1060700330.0,5q35.3
HSPB6,584.6669702772297,3.3654009569191584e-90,chr19,35754565.0,2690165853.0,19q13.12
NEK2,582.0699045573082,6.465567672524167e-90,chr1,211658256.0,211658256.0,1q32.3
IGFBP6,572.5442785699245,7.180092657319873e-89,chr12,53097666.0,1996865339.0,12q13.13
IGSF10,568.7252741536605,1.8954860543621513e-88,chr3,151436204.0,642586155.0,3q25.1
AQP7,559.2817198137051,2.1195718946247046e-87,chr9,33383190.0,1569872102.0,9p13.3
C1QTNF9,554.5774632481007,7.1089128651298405e-87,chr13,24307165.0,2101350147.0,13q12.12
HSD17B13,547.9929194131372,3.90014793276498e-86,chr4,87303794.0,776749304.0,4q22.1
GPAM,540.9896046650741,2.4105238473724488e-85,chr10,112149864.0,1787033493.0,10q25.2
DMD,535.6662264395806,9.698253205606127e-85,chrX,31119225.0,2906120747.0,Xp21.2
CPA1,534.7655547817545,1.2281972861915056e-84,chr7,130380493.0,1362384796.0,7q32.2
CXCL2,524.137634628427,2.0226711818337876e-83,chr4,74097039.0,763542549.0,4q13.3
FLJ90650,522.0873666899337,3.4831917550522996e-83,,,,
STARD9,518.5835353079923,8.838868571590345e-83,chr15,42575605.0,2341026633.0,15q15.2
SDPR,515.3381193323636,2.0996058845186436e-82,chr2,191834309.0,440790731.0,2q32.3
ANGPTL7,514.9467367155457,2.3309096507243433e-82,chr1,11189354.0,11189354.0,1p36.22
AVPR2,513.5470950596839,3.388213734036223e-82,chrX,153902624.0,3028904146.0,Xq28
RBP4,510.339750246883,7.998434585891387e-82,chr10,93591693.0,1768475322.0,10q23.33
KLF15,509.08583023493844,1.1198019303300009e-81,chr3,126342634.0,617492585.0,3q21.3
FIGF,507.29956251800644,1.8097100488190806e-81,chrX,15345595.0,2890347117.0,Xp22.2
LEPR,494.71418681312747,5.446839137225321e-80,chr1,65420651.0,65420651.0,1p31.3
ITIH5,492.6354843056274,9.594255458014241e-80,chr10,7559269.0,1682442898.0,10p14
CES1,487.16463864491857,4.2793163058360274e-79,chr16,55802851.0,2456245068.0,16q12.2
RDH5,485.3590846506831,7.021236575691874e-79,chr12,55720392.0,1999488065.0,12q13.2
MME,482.4850069031438,1.5469039001728156e-78,chr3,155024123.0,646174074.0,3q25.2
COL11A1,478.96636396081834,4.0804706458229314e-78,chr1,102876466.0,102876466.0,1p21.1
ALDH1L1,476.7796080743047,7.46808574910707e-78,chr3,126103560.0,617253511.0,3q21.3
CAV2,475.5338440054897,1.0543712699044892e-77,chr7,116499737.0,1348504040.0,7q31.2
ACVR1C,475.5005853449497,1.0641303482645863e-77,chr2,157526766.0,406483188.0,2q24.1
ADAMTS5,472.0695384290275,2.757098811555191e-77,chr21,26917921.0,2804390992.0,21q21.3
ARHGAP20,472.0232155912085,2.792824511448175e-77,chr11,110577042.0,1919258093.0,11q22.3
CEP55,469.7407456840002,5.270473543208012e-77,chr10,93496611.0,1768380240.0,10q23.33
F10,469.4542940666478,5.708285838032985e-77,chr13,113122798.0,2190165780.0,13q34
WISP1,467.815644443699,9.014417303197846e-77,chr8,133191038.0,1524541314.0,8q24.22
FHL1,465.45601142540033,1.7426943760128018e-76,chrX,136146701.0,3011148223.0,Xq26.3
SPRY2,465.0445355724476,1.9552833212717413e-76,chr13,80335976.0,2157378958.0,13q31.1
PDE2A,461.9526424628509,4.650073090535976e-76,chr11,72576139.0,1881257190.0,11q13.4
HBA2,458.5557049901751,1.2081369541948092e-75,chr16,172875.0,2400615092.0,16p13.3
PGM5,458.5520229742352,1.2093899554982564e-75,chr9,68356610.0,1604845522.0,9q21.11
KIAA0408,456.81303859659783,1.9740796429909276e-75,chr6,127438405.0,1188636729.0,6q22.33
SLC2A4,455.86352806537525,2.5805120588083205e-75,chr17,7281717.0,2498062279.0,17p13.1
INHBA,455.72727242522075,2.6816969069329607e-75,chr7,41685113.0,1273689416.0,7p14.1
TPM3,453.154424659903,5.549211558499106e-75,chr1,154155303.0,154155303.0,1q21.3
TNMD,452.4088326891389,6.853313523564267e-75,chrX,100584935.0,2975586457.0,Xq22.1
WDR51A,451.4289228302752,9.046474820094258e-75,chr3,52075225.0,543225176.0,3p21.2
SPC25,451.0493438319651,1.0074363400682982e-74,chr2,168870890.0,417827312.0,2q24.3
LOC55908,449.8183805182632,1.4285862013278025e-74,,,,
GPR146,449.1897816143259,1.707800126130089e-74,chr7,1044545.0,1233048848.0,7p22.3
BUB1,448.522372786949,2.064458253789863e-74,chr2,110637527.0,359593949.0,2q13
MAMDC2,445.59376214652735,4.751988728704346e-74,chr9,70043580.0,1606532492.0,9q21.12
KLHL29,443.8025375552309,7.922025224313878e-74,chr2,23385178.0,272341600.0,2p24.1
CIDEC,440.71289926199665,1.9169140445036655e-73,chr3,9866709.0,501016660.0,3p25.3
LRRTM2,440.06224162940714,2.309771492931942e-73,chr5,138868920.0,1018528985.0,5q31.2
