gene,selection_freq,direction_consistency,times_selected,n_bootstraps,symbol,chrom,start,end,strand,gene_type,mean_normal,mean_tumor,delta,locus
ENSG00000149451.17,1.0,1.0,150,150,ADAM33,chr20,3667965,3682246,-,protein_coding,0.8358673,-1.1929793,-2.0288467,"chr20:3,667,965-3,682,246 (-)"
ENSG00000154529.14,1.0,1.0,150,150,CNTNAP3B,chr9,41890314,42129510,-,protein_coding,-0.6760112,-1.6640828,-0.98807156,"chr9:41,890,314-42,129,510 (-)"
ENSG00000154263.17,1.0,1.0,150,150,ABCA10,chr17,69147214,69244846,-,protein_coding,-0.0392866,-1.5933812,-1.5540946,"chr17:69,147,214-69,244,846 (-)"
ENSG00000123500.9,1.0,1.0,150,150,COL10A1,chr6,116118923,116158747,-,protein_coding,-1.7976793,1.0445279,2.8422072,"chr6:116,118,923-116,158,747 (-)"
ENSG00000165810.16,1.0,1.0,150,150,BTNL9,chr5,181040225,181061523,+,protein_coding,1.4374135,-1.0123351,-2.4497485,"chr5:181,040,225-181,061,523 (+)"
ENSG00000197769.5,1.0,1.0,150,150,MAP1LC3C,chr1,241995490,241999073,-,protein_coding,0.06157352,-1.4865127,-1.5480862,"chr1:241,995,490-241,999,073 (-)"
ENSG00000155970.11,1.0,1.0,150,150,MICU3,chr8,17027238,17122644,+,protein_coding,-0.43015465,-1.4098065,-0.9796518,"chr8:17,027,238-17,122,644 (+)"
ENSG00000099953.9,1.0,1.0,150,150,MMP11,chr22,23768226,23784316,+,protein_coding,-1.0718334,1.5768676,2.648701,"chr22:23,768,226-23,784,316 (+)"
ENSG00000165197.4,1.0,1.0,150,150,VEGFD,chrX,15345591,15384376,-,protein_coding,0.64697105,-1.4488772,-2.0958483,"chrX:15,345,591-15,384,376 (-)"
ENSG00000164849.9,1.0,1.0,150,150,GPR146,chr7,1044576,1059261,+,protein_coding,0.6341515,-0.71617496,-1.3503265,"chr7:1,044,576-1,059,261 (+)"
ENSG00000105011.8,1.0,1.0,150,150,ASF1B,chr19,14119509,14136956,-,protein_coding,-1.1630789,0.47456723,1.6376462,"chr19:14,119,509-14,136,956 (-)"
ENSG00000266964.5,1.0,1.0,150,150,FXYD1,chr19,35138808,35143109,+,protein_coding,0.92132026,-0.98164403,-1.9029644,"chr19:35,138,808-35,143,109 (+)"
ENSG00000153902.13,1.0,1.0,150,150,LGI4,chr19,35124513,35142451,-,protein_coding,0.21912964,-1.2559985,-1.4751282,"chr19:35,124,513-35,142,451 (-)"
ENSG00000136158.11,1.0,1.0,150,150,SPRY2,chr13,80335976,80340951,-,protein_coding,1.2970864,-0.2500659,-1.5471523,"chr13:80,335,976-80,340,951 (-)"
ENSG00000137727.12,1.0,1.0,150,150,ARHGAP20,chr11,110577042,110713189,-,protein_coding,-0.4250206,-1.420467,-0.99544644,"chr11:110,577,042-110,713,189 (-)"
ENSG00000186642.15,1.0,1.0,150,150,PDE2A,chr11,72576141,72674591,-,protein_coding,0.7570158,-0.9525021,-1.709518,"chr11:72,576,141-72,674,591 (-)"
ENSG00000177363.4,1.0,1.0,150,150,LRRN4CL,chr11,62686402,62689899,-,protein_coding,0.30500644,-1.1734086,-1.478415,"chr11:62,686,402-62,689,899 (-)"
ENSG00000133800.8,1.0,1.0,150,150,LYVE1,chr11,10556966,10611689,-,protein_coding,1.0247211,-1.1518904,-2.1766114,"chr11:10,556,966-10,611,689 (-)"
ENSG00000169418.9,1.0,1.0,150,150,NPR1,chr1,153678637,153693992,+,protein_coding,0.96691895,-0.6949828,-1.6619017,"chr1:153,678,637-153,693,992 (+)"
ENSG00000159433.11,1.0,1.0,150,150,STARD9,chr15,42575659,42720981,+,protein_coding,-0.3258591,-1.3519291,-1.02607,"chr15:42,575,659-42,720,981 (+)"
ENSG00000141338.13,1.0,1.0,150,150,ABCA8,chr17,68867292,68955392,-,protein_coding,0.31355822,-1.2870095,-1.6005677,"chr17:68,867,292-68,955,392 (-)"
ENSG00000117650.12,1.0,1.0,150,150,NEK2,chr1,211658657,211675630,-,protein_coding,-1.7254468,0.17900516,1.904452,"chr1:211,658,657-211,675,630 (-)"
ENSG00000187800.13,1.0,1.0,150,150,PEAR1,chr1,156893698,156916434,+,protein_coding,0.48954442,-0.8551573,-1.3447018,"chr1:156,893,698-156,916,434 (+)"
ENSG00000161649.12,1.0,1.0,150,150,CD300LG,chr17,43847148,43863629,+,protein_coding,0.89651823,-1.4598747,-2.3563929,"chr17:43,847,148-43,863,629 (+)"
ENSG00000167434.9,1.0,1.0,150,150,CA4,chr17,60149936,60170899,+,protein_coding,0.4571924,-1.7054831,-2.1626754,"chr17:60,149,936-60,170,899 (+)"
