gene,selection_freq,direction_consistency,times_selected,n_bootstraps,symbol,chrom,start,end,strand,locus
ENSG00000112984.11,1.0,1.0,150,150,KIF20A,chr5,138178719,138187715,+,"chr5:138,178,719-138,187,715 (+)"
ENSG00000266964.5,1.0,1.0,150,150,FXYD1,chr19,35138808,35143109,+,"chr19:35,138,808-35,143,109 (+)"
ENSG00000169418.9,1.0,1.0,150,150,NPR1,chr1,153678637,153693992,+,"chr1:153,678,637-153,693,992 (+)"
ENSG00000105011.8,1.0,1.0,150,150,ASF1B,chr19,14119509,14136956,-,"chr19:14,119,509-14,136,956 (-)"
ENSG00000168079.16,1.0,1.0,150,150,SCARA5,chr8,27869882,27992727,-,"chr8:27,869,882-27,992,727 (-)"
ENSG00000165810.16,1.0,1.0,150,150,BTNL9,chr5,181040225,181061523,+,"chr5:181,040,225-181,061,523 (+)"
ENSG00000090889.11,1.0,1.0,150,150,KIF4A,chrX,70290090,70420832,+,"chrX:70,290,090-70,420,832 (+)"
ENSG00000154258.16,1.0,1.0,150,150,ABCA9,chr17,68974488,69061064,-,"chr17:68,974,488-69,061,064 (-)"
ENSG00000167434.9,1.0,1.0,150,150,CA4,chr17,60149936,60170899,+,"chr17:60,149,936-60,170,899 (+)"
ENSG00000277494.1,1.0,1.0,150,150,GPIHBP1,chr8,143213193,143217170,+,"chr8:143,213,193-143,217,170 (+)"
ENSG00000161649.12,1.0,1.0,150,150,CD300LG,chr17,43847148,43863629,+,"chr17:43,847,148-43,863,629 (+)"
ENSG00000131747.14,1.0,1.0,150,150,TOP2A,chr17,40388516,40417950,-,"chr17:40,388,516-40,417,950 (-)"
ENSG00000137804.12,1.0,1.0,150,150,NUSAP1,chr15,41332694,41381050,+,"chr15:41,332,694-41,381,050 (+)"
ENSG00000165197.4,1.0,1.0,150,150,VEGFD,chrX,15345591,15384376,-,"chrX:15,345,591-15,384,376 (-)"
ENSG00000168874.12,1.0,1.0,150,150,ATOH8,chr2,85751344,85788066,+,"chr2:85,751,344-85,788,066 (+)"
ENSG00000136158.11,1.0,1.0,150,150,SPRY2,chr13,80335976,80340951,-,"chr13:80,335,976-80,340,951 (-)"
ENSG00000181234.9,1.0,1.0,150,150,TMEM132C,chr12,128267403,128707915,+,"chr12:128,267,403-128,707,915 (+)"
ENSG00000167779.7,1.0,1.0,150,150,IGFBP6,chr12,53097436,53102345,+,"chr12:53,097,436-53,102,345 (+)"
ENSG00000137727.12,1.0,1.0,150,150,ARHGAP20,chr11,110577042,110713189,-,"chr11:110,577,042-110,713,189 (-)"
ENSG00000168477.17,1.0,1.0,150,150,TNXB,chr6,32041154,32115334,-,"chr6:32,041,154-32,115,334 (-)"
ENSG00000186642.15,1.0,1.0,150,150,PDE2A,chr11,72576141,72674591,-,"chr11:72,576,141-72,674,591 (-)"
ENSG00000168497.4,1.0,1.0,150,150,SDPR,chr2,191834302,191847255,-,"chr2:191,834,302-191,847,255 (-)"
ENSG00000177363.4,1.0,1.0,150,150,LRRN4CL,chr11,62686402,62689899,-,"chr11:62,686,402-62,689,899 (-)"
ENSG00000138180.15,1.0,1.0,150,150,CEP55,chr10,93496632,93529092,+,"chr10:93,496,632-93,529,092 (+)"
ENSG00000124440.15,1.0,1.0,150,150,HIF3A,chr19,46297046,46343433,+,"chr19:46,297,046-46,343,433 (+)"
ENSG00000171848.13,1.0,1.0,150,150,RRM2,chr2,10122328,10131419,+,"chr2:10,122,328-10,131,419 (+)"
ENSG00000088325.15,1.0,1.0,150,150,TPX2,chr20,31739271,31801805,+,"chr20:31,739,271-31,801,805 (+)"
ENSG00000149451.17,1.0,1.0,150,150,ADAM33,chr20,3667965,3682246,-,"chr20:3,667,965-3,682,246 (-)"
ENSG00000175063.16,1.0,1.0,150,150,UBE2C,chr20,45812576,45816957,+,"chr20:45,812,576-45,816,957 (+)"
ENSG00000143476.17,1.0,1.0,150,150,DTL,chr1,212035553,212107400,+,"chr1:212,035,553-212,107,400 (+)"
ENSG00000117650.12,1.0,1.0,150,150,NEK2,chr1,211658657,211675630,-,"chr1:211,658,657-211,675,630 (-)"
ENSG00000148180.19,1.0,1.0,150,150,GSN,chr9,121207794,121332843,+,"chr9:121,207,794-121,332,843 (+)"
ENSG00000077152.9,1.0,1.0,150,150,UBE2T,chr1,202331657,202341980,-,"chr1:202,331,657-202,341,980 (-)"
ENSG00000187800.13,1.0,1.0,150,150,PEAR1,chr1,156893698,156916434,+,"chr1:156,893,698-156,916,434 (+)"
ENSG00000166803.11,0.9866666666666667,1.0,148,150,PCLAF,chr15,64364311,64387687,-,"chr15:64,364,311-64,387,687 (-)"
ENSG00000122952.16,0.98,1.0,147,150,ZWINT,chr10,56357228,56361275,-,"chr10:56,357,228-56,361,275 (-)"
ENSG00000076555.15,0.98,1.0,147,150,ACACB,chr12,109116595,109268226,+,"chr12:109,116,595-109,268,226 (+)"
ENSG00000138160.5,0.9733333333333334,1.0,146,150,KIF11,chr10,92593286,92655395,+,"chr10:92,593,286-92,655,395 (+)"
ENSG00000276043.4,0.9666666666666667,1.0,145,150,UHRF1,chr19,4903080,4962154,+,"chr19:4,903,080-4,962,154 (+)"
ENSG00000072571.19,0.9333333333333333,1.0,140,150,HMMR,chr5,163460203,163491945,+,"chr5:163,460,203-163,491,945 (+)"
ENSG00000134057.14,0.9133333333333333,1.0,137,150,CCNB1,chr5,69167010,69178245,+,"chr5:69,167,010-69,178,245 (+)"
ENSG00000133800.8,0.9133333333333333,1.0,137,150,LYVE1,chr11,10556966,10611689,-,"chr11:10,556,966-10,611,689 (-)"
ENSG00000180660.7,0.8133333333333334,1.0,122,150,MAB21L1,chr13,35474182,35477209,-,"chr13:35,474,182-35,477,209 (-)"
ENSG00000163884.3,0.8066666666666666,1.0,121,150,KLF15,chr3,126342635,126357442,-,"chr3:126,342,635-126,357,442 (-)"
ENSG00000163431.12,0.6866666666666666,1.0,103,150,LMOD1,chr1,201896452,201946588,-,"chr1:201,896,452-201,946,588 (-)"
ENSG00000022267.16,0.58,1.0,87,150,FHL1,chrX,136146702,136211359,+,"chrX:136,146,702-136,211,359 (+)"
ENSG00000169744.12,0.5466666666666666,1.0,82,150,LDB2,chr4,16501541,16898809,-,"chr4:16,501,541-16,898,809 (-)"
ENSG00000153902.13,0.5466666666666666,1.0,82,150,LGI4,chr19,35124513,35142451,-,"chr19:35,124,513-35,142,451 (-)"
ENSG00000170312.15,0.52,1.0,78,150,CDK1,chr10,60778331,60794852,+,"chr10:60,778,331-60,794,852 (+)"
ENSG00000164849.9,0.4866666666666667,1.0,73,150,GPR146,chr7,1044576,1059261,+,"chr7:1,044,576-1,059,261 (+)"
ENSG00000123500.9,0.35333333333333333,1.0,53,150,COL10A1,chr6,116118923,116158747,-,"chr6:116,118,923-116,158,747 (-)"
ENSG00000113368.11,0.34,1.0,51,150,LMNB1,chr5,126776623,126837020,+,"chr5:126,776,623-126,837,020 (+)"
ENSG00000089685.14,0.34,1.0,51,150,BIRC5,chr17,78214186,78225636,+,"chr17:78,214,186-78,225,636 (+)"
ENSG00000124615.17,0.3333333333333333,1.0,50,150,MOCS1,chr6,39899578,39934551,-,"chr6:39,899,578-39,934,551 (-)"
